,time,O1,O2,Fp2,Fp1,contact_O1,contact_O2,contact_Fp2,contact_Fp1,Sample,Streaming,Battery
17751,71.004,0.1157827265625,0.5625,-0.02544544921875,-0.040203769531249996,1.0,0.0,1.0,1.0,30152.0,1.0,84.0
17752,71.008,0.11579372656249999,0.5625,-0.025445181640624998,-0.04020638671875,1.0,0.0,1.0,1.0,30153.0,1.0,84.0
17753,71.012,0.11579271875,0.5625,-0.02544591796875,-0.04020155859375,1.0,0.0,1.0,1.0,30154.0,1.0,84.0
17754,71.016,0.11578206249999999,0.5625,-0.025442431640625,-0.040202027343749995,1.0,0.0,1.0,1.0,30155.0,1.0,84.0
17755,71.02,0.11577729687499999,0.5625,-0.02543975,-0.04020122265625,1.0,0.0,1.0,1.0,30156.0,1.0,84.0
17756,71.024,0.1157815859375,0.5625,-0.025441023437499998,-0.040205179687499995,1.0,0.0,1.0,1.0,30157.0,1.0,84.0
17757,71.028,0.1157904375,0.5625,-0.025441761718749997,-0.04021342578125,1.0,0.0,1.0,1.0,30158.0,1.0,84.0
17758,71.032,0.11578996875,0.5625,-0.025442767578124997,-0.04021128125,1.0,0.0,1.0,1.0,30159.0,1.0,84.0
17759,71.036,0.1157868203125,0.5625,-0.025439548828125,-0.04020216015625,1.0,0.0,1.0,1.0,30160.0,1.0,84.0
17760,71.04,0.1157847421875,0.5625,-0.0254405546875,-0.040201625,1.0,0.0,1.0,1.0,30161.0,1.0,84.0
17761,71.044,0.11578957031249999,0.5625,-0.025442365234375,-0.04020960546875,1.0,0.0,1.0,1.0,30162.0,1.0,84.0
17762,71.048,0.11580297656249999,0.5625,-0.025441560546875,-0.04021892578125,1.0,0.0,1.0,1.0,30163.0,1.0,84.0
17763,71.052,0.115807,0.5625,-0.025439146484374998,-0.04021490234375,1.0,0.0,1.0,1.0,30164.0,1.0,84.0
17764,71.056,0.1158006328125,0.5625,-0.02543807421875,-0.040210074218749996,1.0,0.0,1.0,1.0,30165.0,1.0,84.0
17765,71.06,0.11579265625,0.5625,-0.02543646484375,-0.04021402734375,1.0,0.0,1.0,1.0,30166.0,1.0,84.0
17766,71.064,0.11579265625,0.5625,-0.0254361953125,-0.040213226562499996,1.0,0.0,1.0,1.0,30167.0,1.0,84.0
17767,71.068,0.11579640625,0.5625,-0.025440152343749998,-0.04021342578125,1.0,0.0,1.0,1.0,30168.0,1.0,84.0
17768,71.072,0.1157903046875,0.5625,-0.02544383984375,-0.040213894531249995,1.0,0.0,1.0,1.0,30169.0,1.0,84.0
17769,71.076,0.11578152343749999,0.5625,-0.025442767578124997,-0.04021282421875,1.0,0.0,1.0,1.0,30170.0,1.0,84.0
17770,71.08,0.11577729687499999,0.5625,-0.025441962890625,-0.040206921874999996,1.0,0.0,1.0,1.0,30171.0,1.0,84.0
17771,71.084,0.1157861484375,0.5625,-0.025444578125,-0.0402061171875,1.0,0.0,1.0,1.0,30172.0,1.0,84.0
17772,71.088,0.1157960703125,0.5625,-0.025440822265625,-0.04021329296875,1.0,0.0,1.0,1.0,30173.0,1.0,84.0
17773,71.092,0.1157934609375,0.5625,-0.0254405546875,-0.04021698046875,1.0,0.0,1.0,1.0,30174.0,1.0,84.0
17774,71.096,0.11578554687499999,0.5625,-0.025435927734375,-0.04021597265625,1.0,0.0,1.0,1.0,30175.0,1.0,84.0
